rms,std,min,max,mav,wfl,aac,zc,wamp,afb,label
0.31121696611849425,0.3112159378952177,-0.56,0.52,0.2792,7.109999999999999,0.29624999999999996,9,24,0.56,1
0.16270218191530192,0.16219790380889637,-0.28,0.31,0.1352,3.76,0.15666666666666665,10,24,0.31,1
0.24242937115786942,0.2421886867712858,-0.41,0.48,0.2036,5.21,0.21708333333333332,9,24,0.4,1
0.24180157154162582,0.24152316659070205,-0.49,0.47,0.20199999999999999,5.299999999999999,0.2208333333333333,9,22,0.49,1
0.2411970149069014,0.2406657433038612,-0.45,0.51,0.2008,4.630000000000001,0.1929166666666667,7,24,0.45,1
0.24013329631685815,0.2397478675609024,-0.37,0.44,0.19519999999999998,5.26,0.21916666666666665,10,24,0.44,1
0.24823376079816376,0.2480632177490246,-0.49,0.44,0.2108,5.57,0.23208333333333334,10,24,0.49,1
0.21614809737770074,0.21581473536345938,-0.43,0.49,0.1784,4.84,0.20166666666666666,11,23,0.49,1
0.2873464807510264,0.2871281247109032,-0.55,0.65,0.22080000000000002,6.02,0.2508333333333333,10,24,0.53,1
0.2525707821581903,0.2510139438357957,-0.46,0.46,0.2168,5.67,0.23625,8,24,0.46,1
0.18325937902328493,0.18291681169318472,-0.4,0.36,0.15280000000000002,3.4600000000000004,0.1441666666666667,9,23,0.4,1
0.28570614274110384,0.2856050419723013,-0.55,0.62,0.2364,6.11,0.25458333333333333,8,24,0.46,1
0.3303755438890718,0.3302687390595725,-0.51,0.56,0.294,7.370000000000001,0.3070833333333334,8,24,0.53,1
0.20978083801910982,0.20922944343471356,-0.43,0.41,0.17759999999999998,4.75,0.19791666666666666,10,24,0.43,1
0.1981413636775522,0.1980731178125896,-0.38,0.36,0.16920000000000002,4.58,0.19083333333333333,10,21,0.38,1
0.20537770083434084,0.20436203169864992,-0.31,0.45,0.1764,4.38,0.1825,9,23,0.34,1
0.2000999750124922,0.19952182837975396,-0.46,0.31,0.16960000000000006,3.88,0.16166666666666665,8,23,0.46,1
0.2285957129956728,0.22856071403458644,-0.44,0.4,0.1864,4.67,0.19458333333333333,10,24,0.2,1
0.14923806484942106,0.14902348808157725,-0.32,0.3,0.1208,3.1099999999999994,0.1295833333333333,7,24,0.32,1
0.1418026798054254,0.1416756859873987,-0.29,0.25,0.11160000000000002,2.99,0.12458333333333334,8,20,0.1,1
0.323808585432814,0.3236541363863592,-0.63,0.59,0.27399999999999997,6.67,0.27791666666666665,9,24,0.63,1
0.22702422778197046,0.2266853325647692,-0.48,0.4,0.19400000000000003,4.43,0.18458333333333332,8,24,0.48,1
0.16721243972862784,0.16718181719313857,-0.31,0.39,0.13040000000000002,3.29,0.13708333333333333,13,22,0.25,1
0.23344378338263796,0.23335603699068938,-0.36,0.44,0.2072,4.74,0.1975,8,24,0.36,1
0.22332935319836486,0.22283841679566835,-0.5,0.46,0.18600000000000003,4.960000000000001,0.2066666666666667,9,23,0.5,1
0.2309458811063752,0.23092371034607947,-0.5,0.45,0.18639999999999998,4.59,0.19125,7,23,0.5,1
0.21038060747131615,0.21037110067687526,-0.31,0.33,0.18760000000000002,5.140000000000001,0.2141666666666667,9,23,0.31,1
0.2953506390715957,0.29519457989604075,-0.52,0.48,0.2624,6.75,0.28125,9,24,0.52,1
0.11855800268223146,0.11849050594878899,-0.19,0.22,0.1,2.49,0.10375000000000001,8,19,0.22,1
0.2379663841806233,0.23793915188551884,-0.5,0.46,0.19720000000000001,5.390000000000001,0.22458333333333336,9,24,0.26,1
0.2942787793912432,0.29379884274789103,-0.57,0.61,0.2376,6.04,0.25166666666666665,9,24,0.41,1
0.19406184581210187,0.1910601999370879,-0.3,0.35,0.1668,3.0100000000000002,0.12541666666666668,6,23,0.32,1
0.3289620038849472,0.3268061198937376,-0.59,0.57,0.2816,7.630000000000001,0.3179166666666667,9,24,0.59,1
0.2454872705457454,0.24545468013464317,-0.52,0.49,0.2072,5.65,0.2354166666666667,10,23,0.29,1
0.2178072542409917,0.2178057850471378,-0.43,0.42,0.17680000000000004,4.8100000000000005,0.2004166666666667,10,24,0.43,1
0.23583044756773877,0.2346060527778429,-0.55,0.38,0.17600000000000002,3.8,0.15833333333333333,8,23,0.35,1
0.3073629776014021,0.3069869052581885,-0.53,0.64,0.2504,6.09,0.25375,8,24,0.64,1
0.2769981949399671,0.2769797104482565,-0.52,0.58,0.21360000000000004,5.6,0.2333333333333333,8,23,0.58,1
